_id,country,country_code,government_area,market,street,suburb,latitude,longitude
10006546,Portugal,PT,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,"Porto, Porto, Portugal",,41.1413,-8.61308
10009999,Brazil,BR,Jardim Botânico,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,-22.966253551739655,-43.23074991429229
1001265,United States,US,Primary Urban Center,Oahu,"Honolulu, HI, United States",Oʻahu,21.28634,-157.83919
10021707,United States,US,Bushwick,New York,"Brooklyn, NY, United States",Brooklyn,40.69791,-73.93615
10030955,Brazil,BR,Lagoa,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,-22.971950988341874,-43.205047082633435
1003530,United States,US,Upper West Side,New York,"New York, NY, United States",Manhattan,40.79962,-73.96523
10038496,Brazil,BR,Copacabana,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,-22.984339360067814,-43.190849194463404
10047964,Turkey,TR,Kadikoy,Istanbul,"Kadıköy, İstanbul, Turkey",Moda,40.98585,29.03133
10051164,Brazil,BR,Catete,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,-22.92638234778768,-43.18015675229857
10057447,Canada,CA,Le Plateau-Mont-Royal,Montreal,"Montréal, Québec, Canada",Mile End,45.51889,-73.59111
10057826,United States,US,Greenpoint,New York,"Brooklyn, NY, United States",Greenpoint,40.72778,-73.94472
10059244,Canada,CA,Mercier-Hochelaga-Maisonneuve,Montreal,"Montréal, Québec, Canada",Hochelaga-Maisonneuve,45.54548,-73.54949
10059872,Hong Kong,HK,Central & Western,Hong Kong,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,22.28158,114.15027
10066928,Canada,CA,Le Plateau-Mont-Royal,Montreal,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,45.52233,-73.57383
10069642,Brazil,BR,Recreio dos Bandeirantes,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,-23.00035792660916,-43.4311123147628
10082307,Hong Kong,HK,Yau Tsim Mong,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.30469,114.17158
10082422,Spain,ES,la Dreta de l'Eixample,Barcelona,"Barcelona, Catalunya, Spain",Eixample,41.40082,2.16942
10083468,Portugal,PT,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,"Porto, Porto, Portugal",,41.15225,-8.61123
10084023,Hong Kong,HK,Sham Shui Po,Hong Kong,"Hong Kong , 九龍, Hong Kong",Sham Shui Po District,22.3314,114.1669
10091713,Australia,AU,Sydney,Sydney,"Surry Hills, NSW, Australia",Darlinghurst,-33.88029,151.21554
10092679,Turkey,TR,Beyoglu,Istanbul,"Beyoğlu, İstanbul, Turkey",Beyoglu,41.03777,28.95825
10096773,United States,US,Chelsea,New York,"New York, NY, United States",Manhattan,40.74577,-74.00074
10108388,Australia,AU,Sydney,Sydney,"Darlinghurst, NSW, Australia",Darlinghurst,-33.87603,151.21346
10109896,Australia,AU,Leichhardt,Sydney,"Rozelle, NSW, Australia",Lilyfield/Rozelle,-33.86296,151.17956
10112159,Portugal,PT,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,"Porto, Porto, Portugal",,41.1543,-8.60867
10115921,Turkey,TR,Sisli,Istanbul,"Şişli, İstanbul, Turkey",Şişli,41.04841,28.98713
10116256,Turkey,TR,Sisli,Istanbul,"Şişli, İstanbul, Turkey",Şişli,41.04772,28.98818
10116578,Brazil,BR,Laranjeiras,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,-22.930541460367934,-43.1825954762751
10117617,Portugal,PT,Vila do Conde,Porto,"Vila do Conde, Porto, Portugal",,41.3596,-8.75383
10120414,United States,US,Lower East Side,New York,"New York, NY, United States",Manhattan,40.72063,-73.98944
10133350,United States,US,Upper East Side,New York,"New York, NY, United States",Upper East Side,40.7664,-73.95854
10133554,Turkey,TR,Fatih,Istanbul,"Fatih , İstanbul, Turkey",Fatih,41.0062,28.98009
10138784,United States,US,Jackson Heights,New York,"Queens, NY, United States",Queens,40.74953,-73.88025
10140368,United States,US,Briarwood,New York,"Queens, NY, United States",Queens,40.71485,-73.82257
10141950,Hong Kong,HK,Central & Western,Hong Kong,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,22.28422,114.15007
10166883,United States,US,East Harlem,New York,"New York, NY, United States",Manhattan,40.79805,-73.93943
10166986,United States,US,Williamsburg,New York,"Brooklyn, NY, United States",Williamsburg,40.71552,-73.93869
1016739,Australia,AU,Randwick,Sydney,"Coogee, NSW, Australia",Coogee,-33.92398,151.25541
10184012,Brazil,BR,Vila Isabel,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Vila Isabel,-22.915009354482486,-43.24277868091869
10186755,Turkey,TR,Sariyer,Istanbul,"Istanbul, İstanbul, Turkey",,41.12452,29.03693
1019168,Canada,CA,Le Plateau-Mont-Royal,Montreal,"Montreal, QC, Canada",Le Plateau-Mont-Royal,45.52028,-73.58774
10199760,Turkey,TR,Zeytinburnu,Istanbul,"Zeytinburnu, İstanbul, Turkey",,40.99667,28.89964
10201975,Brazil,BR,Ipanema,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",,-22.980051683700506,-43.1998455458952
10209136,Australia,AU,Manly,Sydney,"Fairlight, NSW, Australia",Fairlight,-33.79629,151.26969
10213499,Australia,AU,Warringah,Sydney,"Narrabeen, NSW, Australia",,-33.71472,151.29792
10215858,Hong Kong,HK,Yau Tsim Mong,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,22.31655,114.17034
10220130,Brazil,BR,Recreio dos Bandeirantes,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,-23.008710784460312,-43.45296045334386
1022200,United States,US,North Kona,The Big Island,"Kailua-Kona, HI, United States",Kailua/Kona,19.5702,-155.96445
10227000,United States,US,Lahaina,Maui,"Lahaina, HI, United States",Maui,20.96996,-156.68012
10228731,Brazil,BR,Tijuca,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Tijuca,-22.936203246553816,-43.247421907135774
10233856,Hong Kong,HK,Yau Tsim Mong,Hong Kong,"Hong Kong, Kowloon, Hong Kong",Mong Kok,22.31723,114.17073
10240767,Hong Kong,HK,Islands,Hong Kong,"Hong Kong, New Territories, Hong Kong",,22.27671,113.92823
10264100,Brazil,BR,Copacabana,Rio De Janeiro,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,-22.96270793328072,-43.17714541632985
10266175,United States,US,Waianae,Oahu,"Waianae, HI, United States",Leeward Side,21.4818,-158.20291
