_id,availability_30,availability_60,availability_90,availability_365
10006546,28,47,74,239
10009999,0,0,0,0
1001265,16,46,76,343
10021707,0,0,0,0
10030955,28,58,88,363
1003530,0,0,0,93
10038496,7,19,33,118
10047964,27,57,87,362
10051164,10,10,21,296
10057447,0,0,0,0
10057826,30,31,31,243
10059244,0,0,0,32
10059872,0,0,0,0
10066928,0,0,0,0
10069642,0,0,0,0
10082307,30,60,90,365
10082422,0,0,0,0
10083468,16,40,67,335
10084023,14,24,40,220
10091713,0,0,0,0
10092679,3,19,37,37
10096773,0,0,0,0
10108388,5,16,35,265
10109896,0,0,0,0
10112159,30,60,87,359
10115921,30,60,90,365
10116256,30,60,90,365
10116578,30,60,90,365
10117617,0,0,0,46
10120414,0,0,0,0
10133350,0,0,0,0
10133554,30,60,90,365
10138784,30,60,90,365
10140368,20,29,29,34
10141950,0,0,0,0
10166883,0,0,0,0
10166986,0,0,0,0
1016739,0,0,19,20
10184012,30,60,90,365
10186755,30,60,90,365
1019168,0,0,0,0
10199760,30,60,90,365
10201975,24,54,84,174
10209136,0,0,0,0
10213499,0,0,25,26
10215858,20,50,80,135
10220130,0,0,0,0
1022200,0,13,43,196
10227000,30,60,90,365
10228731,28,58,88,178
10233856,30,60,90,145
10240767,18,41,67,339
10264100,11,41,71,247
10266175,0,3,16,246
10267144,18,40,70,345
10269320,13,43,62,278
10280433,20,45,75,165
10295352,0,0,0,0
10299095,0,0,0,0
102995,0,3,5,5
10306879,28,58,88,363
103161,28,58,88,363
10317142,10,17,26,229
10324377,22,52,82,357
10332161,0,0,0,0
10343118,20,50,80,170
10354347,30,60,90,365
10359729,0,0,0,0
1036027,0,10,15,264
10373872,0,11,41,316
1038163,17,36,55,317
10381879,28,58,88,347
10383490,30,60,90,365
10392282,12,27,53,321
10411341,3,18,41,316
10415637,24,45,60,309
10416859,0,0,0,0
10423504,0,0,0,0
1042446,5,26,35,228
10431455,0,0,0,0
10448594,0,0,0,27
10449328,30,60,90,365
10458796,0,3,3,3
10459480,30,60,90,365
1047087,30,60,90,365
10471178,30,60,90,365
10486984,18,29,51,326
10487917,16,42,61,309
10488837,30,60,90,365
10519173,22,52,82,172
10527212,30,60,90,365
10527243,12,39,65,65
10542174,0,0,0,0
10545725,0,0,0,0
10545815,1,6,8,168
10548991,11,37,48,267
10552362,0,0,0,0
10558807,13,16,27,174
10560325,0,16,46,314
10570041,17,47,77,342
10573225,6,10,12,204
10578580,3,26,53,323
10581101,19,32,48,211
1058555,23,44,74,336
10596036,0,0,0,0
10612199,5,35,65,339
10624493,0,0,0,0
10628126,5,25,46,214
1063491,12,26,49,317
10635276,0,0,0,0
10639317,0,0,0,0
10648267,0,0,0,0
10659534,0,0,0,0
10664888,3,12,24,243
1066648,23,53,83,358
1067052,20,47,77,352
10671783,0,0,0,0
10675315,0,0,0,0
10677883,23,53,83,358
1068505,5,35,64,64
1069531,3,5,11,276
1070322,19,27,38,289
10706900,11,41,63,329
10716793,0,0,0,0
1073607,0,0,0,232
1074008,30,60,90,365
10742116,10,10,22,297
10751153,29,59,84,359
10752737,0,0,0,0
1077686,30,60,90,365
10782351,8,38,68,343
1079887,8,10,15,280
10802909,8,14,27,253
10812136,0,0,0,0
10816768,4,10,30,108
10819035,30,60,90,365
10828339,30,60,90,180
10839801,19,22,50,140
10839973,30,60,85,360
10840938,7,24,47,306
10850008,30,60,87,267
10852990,23,53,83,358
10855800,0,0,0,0
10857454,13,16,30,198
10862541,0,0,0,0
10887852,1,1,1,66
10893326,0,0,0,0
1089542,15,42,42,100
1090153,28,58,88,363
10908640,0,0,0,0
10911771,0,0,0,32
1092760,1,9,25,300
10932304,13,18,37,312
10948197,28,58,88,88
1095174,5,21,40,215
10977704,9,32,62,62
1098211,0,0,0,0
10985735,0,0,0,0
10990260,30,60,90,365
10992286,30,60,85,360
10992671,29,59,89,364
11005300,0,7,13,117
11006512,18,48,78,287
11007058,14,44,74,283
11007542,29,59,89,364
1101035,11,17,30,276
11012484,0,0,0,0
1104768,10,29,52,295
11055163,0,26,56,236
11080033,0,0,0,0
11093339,2,10,21,272
11095139,23,53,83,173
11097962,28,53,82,357
11098708,6,27,57,57
11108923,14,26,52,258
11113983,30,60,90,365
1111410,14,25,39,194
11115528,16,40,70,324
1112838,12,15,23,127
11130156,30,60,90,365
11131495,22,52,82,357
11136898,21,36,60,333
11144250,2,32,62,336
11145180,0,0,0,92
11146498,30,60,90,365
11153910,0,0,0,100
11157167,0,0,0,0
1117706,0,0,0,0
11191242,0,0,0,0
11193311,28,58,83,358
11194486,0,0,0,0
11194788,30,60,90,365
11197217,7,11,11,12
11207193,1,3,15,142
11223389,2,5,27,115
11242147,1,7,23,291
11264406,0,0,0,42
1127954,0,0,0,0
1129061,4,6,15,182
11305966,0,0,0,0
1131054,0,0,0,157
11319047,13,20,42,257
1132409,3,3,16,16
11335874,0,0,0,0
1136399,0,0,0,0
11364106,0,0,0,0
11378656,30,60,90,365
11379251,19,48,78,353
1138483,14,35,43,125
11387183,30,60,90,365
11396243,0,0,0,0
1139810,10,19,26,92
11406680,16,46,76,351
11409841,7,30,53,322
11413023,12,23,32,259
11420459,0,0,0,0
1143151,7,22,51,322
1144090,8,30,40,275
11442936,0,0,0,0
11444539,23,53,75,75
11447743,6,11,16,266
1145567,30,60,90,365
11459525,3,14,44,130
11464859,9,19,32,284
1146653,30,60,90,365
11472884,0,0,0,0
11480835,0,0,0,0
11488558,28,58,88,363
1148978,30,60,90,365
11510109,29,50,55,216
11533406,0,0,0,0
1153834,23,53,83,358
11552866,28,58,88,363
11553333,7,7,16,180
11553357,30,53,70,345
1155475,14,21,36,245
11557363,17,47,77,348
1155885,4,10,20,270
11566403,0,9,30,143
11567179,0,0,0,0
11567815,0,0,0,0
11567997,0,3,3,3
11568230,0,0,0,36
11602050,5,35,65,340
11603201,0,0,0,0
11610598,9,30,55,133
1163119,0,6,36,311
11648362,0,0,0,0
11648810,0,0,0,0
11656239,30,60,90,365
11667313,0,0,0,0
11679012,4,4,4,214
11679106,30,60,90,365
11688660,0,0,0,0
11690230,27,57,87,362
1169088,2,10,28,223
116931,0,0,0,193
11693193,29,42,62,138
11695437,2,6,16,135
11695637,0,0,0,0
11695887,4,27,57,305
11703559,4,4,10,183
11708,7,14,33,33
11715762,30,60,90,180
11716047,0,0,0,252
11719579,0,0,0,0
11727255,0,0,0,0
11737940,28,58,88,88
11740322,2,27,45,109
117425,0,0,1,219
11753116,14,15,15,15
11757719,30,60,90,365
11764681,0,0,0,180
1176693,12,29,59,293
11778475,4,8,33,117
11778959,0,0,0,0
11779701,0,0,0,0
11792238,0,0,0,0
11796483,27,57,87,267
11806776,0,0,0,0
11816864,0,0,0,0
11817249,2,6,8,143
1182474,13,43,73,95
1182475,14,35,65,340
11834359,0,0,0,45
11835169,2,14,29,179
11835516,30,60,90,365
11840338,26,56,86,361
11841749,0,0,0,0
11846549,25,53,80,155
11848397,7,29,41,154
1185644,11,14,25,80
11860047,19,49,79,354
11860692,0,0,0,0
11863943,0,0,0,145
11871088,9,30,49,289
1188839,2,16,41,316
11890476,29,59,89,364
11894971,0,0,0,0
11902059,17,47,77,352
11914814,0,0,0,0
11918738,5,11,17,158
11921637,0,0,0,0
11933497,0,0,0,0
11935301,0,0,0,0
11936451,0,0,0,0
11939367,22,45,68,343
11945972,0,0,0,0
11948645,10,39,69,323
11948705,30,60,90,365
11953606,28,58,88,88
1195977,23,53,83,358
11963985,27,57,87,362
1198074,8,18,35,217
11987001,28,58,86,233
11993586,15,41,64,337
12003707,0,0,0,0
12004365,0,0,0,0
1200438,3,15,21,103
12007662,0,0,0,0
12008712,28,58,88,178
12010910,0,0,0,0
12014026,0,0,0,0
1201871,2,5,21,255
12027124,18,48,78,353
12046370,0,0,0,199
1206363,13,36,63,232
12068078,30,60,90,365
1206820,29,59,89,364
12080961,0,0,0,0
12083780,5,15,28,222
12088301,30,60,90,365
12091894,21,51,81,356
12091977,30,60,90,365
1209353,13,33,60,210
12097507,12,29,53,328
12098138,0,0,0,0
12104860,0,0,0,0
1211274,1,3,9,129
12112834,30,60,90,90
1211285,0,0,0,0
12117514,0,18,25,25
12120988,0,0,0,0
12135865,20,47,71,346
12136725,12,32,55,313
12137640,0,0,0,0
12139024,28,58,88,363
12142163,30,60,90,365
1215049,1,1,3,68
1215226,12,41,65,338
12156307,19,45,75,75
12157453,16,40,70,250
12181533,0,0,0,0
12183522,0,0,0,20
121861,0,0,0,65
12188601,30,60,90,180
12188649,30,60,90,180
12189083,0,0,0,0
12196285,30,60,90,365
12200176,16,34,50,249
12211157,23,53,83,358
12214471,13,18,35,301
12215468,30,60,90,365
12216115,0,13,28,196
12220612,3,21,45,320
12222943,2,10,23,131
12223067,23,53,83,358
12234922,7,10,32,155
1223747,0,0,5,59
12247133,30,60,90,365
12247516,11,20,39,259
12253016,0,0,0,0
12253386,0,0,0,0
12256344,1,5,30,290
12259367,4,22,52,53
12270044,28,58,88,88
1227759,0,0,8,283
12288463,22,51,72,338
12290090,30,60,90,365
1229106,4,14,37,312
12291906,0,0,0,0
12296622,6,9,34,296
1229797,24,54,84,85
1229847,0,9,9,262
12310597,8,14,33,252
12317903,3,5,9,218
12349607,0,0,0,0
12354373,30,60,90,90
12355178,19,49,79,354
12357386,0,0,0,0
12370710,3,3,3,3
12373208,4,6,9,176
12378302,8,14,29,108
12380012,0,0,0,0
12380299,0,0,0,0
12396367,0,0,0,0
12400621,25,55,82,354
12401124,17,40,58,316
12403784,0,0,0,0
12407601,4,11,18,152
12409013,2,2,29,296
12421800,29,59,89,364
12430621,22,34,54,329
12433727,29,59,89,364
12448766,30,60,90,347
12452082,0,0,0,0
12462076,4,24,49,49
12473031,0,0,0,0
12479743,30,57,79,343
12486648,0,0,0,0
12489523,0,0,0,0
12494415,0,0,0,0
12507567,0,0,0,33
12509339,0,0,0,0
12514918,22,33,53,280
12531055,9,39,69,256
12544539,0,0,0,0
12550465,28,58,88,363
12551469,0,0,0,0
12552675,0,0,0,0
1255979,5,35,65,340
12561397,0,8,32,251
12561925,0,0,0,0
125656,25,55,85,321
12586942,9,19,34,77
12591225,0,0,0,163
12601609,0,0,0,0
12604062,10,25,55,261
12607396,21,33,43,286
12628177,0,0,0,17
12639342,7,30,60,80
12647072,23,53,83,358
1264811,0,0,0,0
12651199,0,16,30,120
12653230,23,53,83,358
12654770,0,0,0,0
12655535,10,34,64,137
12657285,0,0,0,0
1266425,2,4,14,252
12667749,30,60,90,365
12680743,0,0,7,144
1268297,20,50,80,340
12713962,0,0,0,0
127208,16,33,33,220
1273526,12,42,72,347
12740176,0,0,0,0
12742947,0,0,0,0
12752708,26,56,86,361
12757761,30,60,90,365
12758910,5,9,13,43
12761564,14,29,59,334
12762087,22,45,67,310
12762350,23,53,83,358
12774820,0,0,0,0
12778795,0,0,0,0
12782638,7,16,22,191
12788675,0,0,0,0
12790958,30,60,90,270
12791827,0,0,0,0
12797051,11,32,57,321
12800556,22,52,82,348
12800628,29,59,89,357
12805730,30,60,90,365
12810796,26,56,86,361
12812425,16,46,73,348
12814401,0,0,0,0
12814643,2,24,51,56
12815927,9,39,69,329
12824656,8,20,29,295
1284759,6,30,46,280
1284892,3,21,44,282
12857433,1,1,20,271
12857841,22,52,82,357
12857887,0,0,0,0
12872819,0,0,0,0
12873224,14,33,63,334
12874040,9,14,37,305
12874776,0,3,12,132
12886223,23,53,83,358
12887643,0,0,0,0
12889319,29,59,89,364
12893035,6,28,53,328
12895982,0,0,0,0
12896435,29,59,89,324
1290112,30,60,90,365
12902610,26,43,71,92
12902975,0,0,0,0
12906000,4,12,35,225
12906100,29,59,89,89
12906431,4,11,29,289
12923454,0,0,0,0
12924287,14,44,74,349
12929092,3,4,14,96
12933623,24,51,75,230
12937,2,7,13,176
1294944,30,60,90,365
12954762,15,35,62,84
12955940,0,0,0,0
12971023,23,53,83,358
12971533,14,35,40,235
12973335,8,38,61,297
12997475,16,27,47,73
13001636,30,60,90,365
13016251,28,58,88,88
13043773,0,0,0,0
13045223,0,0,0,0
13045429,8,16,39,286
1304552,28,58,88,363
13059740,8,26,49,63
13063671,5,33,42,298
13063723,15,44,66,339
13064336,0,0,0,0
13066822,2,24,45,306
13068933,29,59,89,364
13069562,0,0,0,0
13069840,6,29,46,46
13079105,0,0,0,0
13083186,30,60,90,365
1310141,10,10,10,48
1310308,4,27,57,332
13110019,0,16,46,183
13112091,11,29,59,149
13113064,28,58,88,363
13115342,0,0,0,0
13123668,0,0,0,0
13145113,30,60,90,365
13146333,10,40,70,209
13153996,23,53,75,311
13155211,0,0,0,0
13161668,10,15,30,286
13164714,27,57,87,177
13165887,12,23,26,291
13176532,30,60,90,365
13183672,8,12,14,14
13193079,25,55,85,308
13201601,4,10,37,306
13203747,0,0,0,188
1321072,29,59,89,364
1321603,27,57,87,362
13217170,0,0,0,0
13218264,30,60,90,365
13223739,3,9,24,259
13227163,29,59,89,89
13242217,0,0,0,0
13248377,0,0,0,0
13249697,30,60,90,365
13252758,4,11,27,272
1325472,30,60,90,365
13261391,0,0,0,0
13265567,0,0,0,0
13266188,7,35,65,155
132695,0,0,0,0
13272687,13,19,40,122
13277230,23,53,83,358
13298973,23,53,83,173
13299231,4,23,53,325
13299549,14,31,61,336
13302796,23,51,81,304
13304991,12,39,66,338
13306630,0,0,0,226
13308110,23,40,70,70
13316078,23,53,83,83
13317720,29,59,89,364
13318405,8,29,52,135
13320545,0,11,38,39
13324467,20,50,80,133
13328702,4,15,24,245
1332929,0,1,3,112
13333008,30,48,66,322
13333143,10,40,70,71
13334276,9,39,69,69
13344796,30,60,90,365
13352279,0,0,0,0
13352718,0,0,0,0
13361526,0,25,55,330
13361613,21,38,68,342
13363311,0,0,0,0
13365785,0,0,0,0
13366855,0,0,0,0
13368075,30,60,90,365
13372754,24,54,84,359
13373114,0,0,0,0
13375733,0,0,0,0
13382536,7,13,21,229
13386011,0,0,0,0
13389577,30,60,90,365
13390320,8,26,56,137
13397791,0,0,0,0
13411324,3,3,3,3
13413043,27,57,87,362
13414552,23,53,83,83
13415952,0,0,0,0
13417224,26,52,82,347
13430219,29,59,89,89
13433868,25,45,50,276
13436132,7,9,10,73
13437242,0,0,0,0
13437841,5,15,45,226
13442098,0,11,36,200
13444131,0,0,0,0
13454668,3,18,30,205
1345576,30,60,90,365
13461087,4,10,22,233
13462637,17,42,69,341
13479450,29,59,89,364
13488308,0,0,1,210
13489279,0,0,0,179
13490410,0,0,0,0
13491812,0,0,0,0
13495196,0,0,0,0
13495314,24,24,24,242
13501113,8,26,26,26
13505139,5,21,37,37
13508417,2,8,17,58
13511610,19,41,64,150
13520692,0,0,0,0
13521222,21,51,81,159
13525014,16,29,29,160
1352758,9,39,69,344
13528649,0,16,45,45
13530122,4,14,37,205
13552883,6,31,61,151
13559998,0,0,0,0
13562321,5,30,60,319
13564779,0,8,24,169
13574006,18,47,64,334
13579065,2,15,45,45
13585970,0,0,0,0
13588758,30,60,90,90
13591144,0,0,0,0
13591364,8,8,8,8
1359438,0,0,0,0
13595339,11,37,67,155
13603489,0,3,24,105
13603801,4,7,25,31
13605461,11,38,59,301
13606770,0,0,0,0
13609188,0,0,0,0
13611788,29,59,89,89
1361270,30,60,90,365
13617872,10,40,70,345
13624302,0,0,0,249
13630859,0,0,0,0
13633280,0,5,16,95
13658407,0,0,0,0
13659491,0,15,15,144
13659950,0,0,0,0
13669275,0,0,0,0
13674956,1,26,52,52
13684608,0,0,0,207
13689460,0,0,0,0
13695744,0,0,0,0
13696235,26,56,86,361
13702313,26,56,71,315
13702505,0,0,0,0
1370405,4,15,40,128
13711161,0,0,0,0
13716070,0,0,0,0
13724840,0,0,0,0
13726629,27,57,87,362
13728712,0,0,0,0
13732894,0,0,0,0
13739484,0,0,0,0
13743786,23,39,65,321
13748059,23,53,83,358
13748617,0,0,0,0
13750579,0,0,0,46
13753838,28,58,88,88
13754183,0,0,0,0
13757836,0,0,0,47
13757914,30,60,90,365
13761856,3,3,6,199
13762136,28,58,88,363
13763013,20,36,44,72
13764019,0,0,0,0
13764334,0,2,13,60
13766096,4,8,12,209
13771436,0,0,0,0
13774506,0,0,0,0
13776897,6,36,41,271
13778742,22,44,72,166
13789278,21,23,23,79
13799611,27,57,87,341
13807778,13,19,30,219
13810527,5,35,65,335
13813259,0,0,0,262
13814845,0,5,5,108
13820755,27,57,87,361
13827870,30,60,90,365
13829859,0,0,0,0
13835658,0,0,0,36
13837488,0,0,0,0
13839238,0,0,0,0
13839338,0,0,0,0
13841305,0,0,0,1
13841569,25,55,85,172
13844617,25,55,85,355
13846473,27,57,87,87
13852692,13,30,56,273
13855369,0,0,0,0
13875927,6,23,49,309
13883147,8,33,63,320
13884253,0,0,0,0
13884778,3,3,3,28
13885247,0,0,0,0
13891181,6,29,59,148
13895156,29,59,89,364
13904840,0,0,0,0
13905218,2,2,2,251
13905833,0,0,0,0
13906039,20,50,80,352
13911574,30,60,90,365
13915361,28,58,88,178
13917109,28,58,88,363
1391996,0,0,0,0
13921667,29,59,89,364
13923606,0,0,0,0
13924938,5,20,39,284
13927034,0,0,0,0
13927230,0,0,0,0
13934778,0,2,27,235
13934996,1,1,5,116
13937701,0,0,0,0
13937802,1,11,36,36
13940779,0,0,0,0
139416,28,58,88,363
13945645,30,60,90,365
13949781,4,34,64,339
13955139,0,0,0,0
13955233,28,58,88,88
13960437,28,57,87,353
13962683,0,0,0,0
1396721,1,5,8,184
13981245,13,36,66,156
1398192,29,59,89,364
13988788,0,0,0,0
13993059,29,59,89,89
13997910,29,59,89,364
13999182,0,0,0,0
14004632,5,15,21,229
14013822,6,19,42,187
14018725,0,0,0,0
14037885,0,26,56,222
14040723,0,1,2,97
14042368,29,59,89,179
14043849,18,18,18,18
14044480,15,30,44,273
1405120,30,60,90,365
1406337,30,60,90,365
14063971,0,0,0,0
14073709,29,59,89,89
14075164,6,10,22,170
1408997,0,0,0,0
14090613,0,0,0,0
14094561,0,0,0,0
14096512,5,25,49,75
1410284,8,9,20,252
14104326,0,0,0,0
1410460,0,0,0,0
1410802,17,30,44,285
14109521,0,0,0,0
14109694,0,0,0,0
14111332,19,45,75,350
14112918,7,10,26,228
14119791,0,4,5,68
14119805,8,21,39,120
